,question_link,question,No_answer
83,https://leetcode.cn/problems/largest-rectangle-in-histogram/,84. 柱状图中最大的矩形,1524
84,https://leetcode.cn/problems/maximal-rectangle/,85. 最大矩形,938
85,https://leetcode.cn/problems/partition-list/,86. 分隔链表,1399
86,https://leetcode.cn/problems/scramble-string/,87. 扰乱字符串,375
87,https://leetcode.cn/problems/merge-sorted-array/,88. 合并两个有序数组,4488
88,https://leetcode.cn/problems/gray-code/,89. 格雷编码,784
89,https://leetcode.cn/problems/subsets-ii/,90. 子集 II,1717
90,https://leetcode.cn/problems/decode-ways/,91. 解码方法,1905
91,https://leetcode.cn/problems/reverse-linked-list-ii/,92. 反转链表 II,2831
92,https://leetcode.cn/problems/restore-ip-addresses/,93. 复原 IP 地址,1846
93,https://leetcode.cn/problems/binary-tree-inorder-traversal/,94. 二叉树的中序遍历,3243
94,https://leetcode.cn/problems/unique-binary-search-trees-ii/,95. 不同的二叉搜索树 II,825
95,https://leetcode.cn/problems/unique-binary-search-trees/,96. 不同的二叉搜索树,1865
96,https://leetcode.cn/problems/interleaving-string/,97. 交错字符串,698
97,https://leetcode.cn/problems/validate-binary-search-tree/,98. 验证二叉搜索树,2852
98,https://leetcode.cn/problems/recover-binary-search-tree/,99. 恢复二叉搜索树,831
99,https://leetcode.cn/problems/same-tree/,100. 相同的树,2479
100,https://leetcode.cn/problems/bitwise-and-of-numbers-range/,201. 数字范围按位与,422
101,https://leetcode.cn/problems/happy-number/,202. 快乐数,1948
102,https://leetcode.cn/problems/remove-linked-list-elements/,203. 移除链表元素,2367
103,https://leetcode.cn/problems/count-primes/,204. 计数质数,867
104,https://leetcode.cn/problems/isomorphic-strings/,205. 同构字符串,1085
105,https://leetcode.cn/problems/reverse-linked-list/,206. 反转链表,9273
106,https://leetcode.cn/problems/course-schedule/,207. 课程表,1390
107,https://leetcode.cn/problems/implement-trie-prefix-tree/,208. 实现 Trie (前缀树),1282
108,https://leetcode.cn/problems/minimum-size-subarray-sum/,209. 长度最小的子数组,2257
109,https://leetcode.cn/problems/course-schedule-ii/,210. 课程表 II,953
110,https://leetcode.cn/problems/design-add-and-search-words-data-structure/,211. 添加与搜索单词 - 数据结构设计,624
111,https://leetcode.cn/problems/word-search-ii/,212. 单词搜索 II,656
112,https://leetcode.cn/problems/house-robber-ii/,213. 打家劫舍 II,2169
113,https://leetcode.cn/problems/shortest-palindrome/,214. 最短回文串,377
114,https://leetcode.cn/problems/kth-largest-element-in-an-array/,215. 数组中的第K个最大元素,3167
115,https://leetcode.cn/problems/combination-sum-iii/,216. 组合总和 III,1435
116,https://leetcode.cn/problems/contains-duplicate/,217. 存在重复元素,2654
117,https://leetcode.cn/problems/the-skyline-problem/,218. 天际线问题,345
118,https://leetcode.cn/problems/contains-duplicate-ii/,219. 存在重复元素 II,1496
119,https://leetcode.cn/problems/contains-duplicate-iii/,220. 存在重复元素 III,520
120,https://leetcode.cn/problems/maximal-square/,221. 最大正方形,1306
121,https://leetcode.cn/problems/count-complete-tree-nodes/,222. 完全二叉树的节点个数,1256
122,https://leetcode.cn/problems/rectangle-area/,223. 矩形面积,573
123,https://leetcode.cn/problems/basic-calculator/,224. 基本计算器,795
124,https://leetcode.cn/problems/implement-stack-using-queues/,225. 用队列实现栈,5084
125,https://leetcode.cn/problems/invert-binary-tree/,226. 翻转二叉树,2946
126,https://leetcode.cn/problems/basic-calculator-ii/,227. 基本计算器 II,888
127,https://leetcode.cn/problems/summary-ranges/,228. 汇总区间,815
128,https://leetcode.cn/problems/majority-element-ii/,229. 多数元素 II,756
129,https://leetcode.cn/problems/kth-smallest-element-in-a-bst/,230. 二叉搜索树中第K小的元素,1447
130,https://leetcode.cn/problems/power-of-two/,231. 2 的幂,1649
131,https://leetcode.cn/problems/implement-queue-using-stacks/,232. 用栈实现队列,1753
132,https://leetcode.cn/problems/number-of-digit-one/,233. 数字 1 的个数,505
133,https://leetcode.cn/problems/palindrome-linked-list/,234. 回文链表,2708
134,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-search-tree/,235. 二叉搜索树的最近公共祖先,1353
135,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/,236. 二叉树的最近公共祖先,2008
136,https://leetcode.cn/problems/delete-node-in-a-linked-list/,237. 删除链表中的节点,1517
137,https://leetcode.cn/problems/product-of-array-except-self/,238. 除自身以外数组的乘积,1222
138,https://leetcode.cn/problems/sliding-window-maximum/,239. 滑动窗口最大值,1939
139,https://leetcode.cn/problems/search-a-2d-matrix-ii/,240. 搜索二维矩阵 II,1362
140,https://leetcode.cn/problems/different-ways-to-add-parentheses/,241. 为运算表达式设计优先级,411
141,https://leetcode.cn/problems/valid-anagram/,242. 有效的字母异位词,2412
142,https://leetcode.cn/problems/shortest-word-distance/,243. 最短单词距离,147
143,https://leetcode.cn/problems/shortest-word-distance-ii/,244. 最短单词距离 II,87
144,https://leetcode.cn/problems/shortest-word-distance-iii/,245. 最短单词距离 III,79
145,https://leetcode.cn/problems/strobogrammatic-number/,246. 中心对称数,144
146,https://leetcode.cn/problems/strobogrammatic-number-ii/,247. 中心对称数 II,120
147,https://leetcode.cn/problems/strobogrammatic-number-iii/,248. 中心对称数 III,68
148,https://leetcode.cn/problems/group-shifted-strings/,249. 移位字符串分组,141
149,https://leetcode.cn/problems/count-univalue-subtrees/,250. 统计同值子树,116
150,https://leetcode.cn/problems/remove-invalid-parentheses/,301. 删除无效的括号,467
151,https://leetcode.cn/problems/smallest-rectangle-enclosing-black-pixels/,302. 包含全部黑色像素的最小矩形,51
152,https://leetcode.cn/problems/range-sum-query-immutable/,303. 区域和检索 - 数组不可变,1416
153,https://leetcode.cn/problems/range-sum-query-2d-immutable/,304. 二维区域和检索 - 矩阵不可变,928
154,https://leetcode.cn/problems/number-of-islands-ii/,305. 岛屿数量 II,99
155,https://leetcode.cn/problems/additive-number/,306. 累加数,605
156,https://leetcode.cn/problems/range-sum-query-mutable/,307. 区域和检索 - 数组可修改,467
157,https://leetcode.cn/problems/range-sum-query-2d-mutable/,308. 二维区域和检索 - 可变,64
158,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-cooldown/,309. 最佳买卖股票时机含冷冻期,1405
159,https://leetcode.cn/problems/minimum-height-trees/,310. 最小高度树,406
160,https://leetcode.cn/problems/sparse-matrix-multiplication/,311. 稀疏矩阵的乘法,67
161,https://leetcode.cn/problems/burst-balloons/,312. 戳气球,496
162,https://leetcode.cn/problems/super-ugly-number/,313. 超级丑数,418
163,https://leetcode.cn/problems/binary-tree-vertical-order-traversal/,314. 二叉树的垂直遍历,125
164,https://leetcode.cn/problems/count-of-smaller-numbers-after-self/,315. 计算右侧小于当前元素的个数,603
165,https://leetcode.cn/problems/remove-duplicate-letters/,316. 去除重复字母,711
166,https://leetcode.cn/problems/shortest-distance-from-all-buildings/,317. 离建筑物最近的距离,78
167,https://leetcode.cn/problems/maximum-product-of-word-lengths/,318. 最大单词长度乘积,538
168,https://leetcode.cn/problems/bulb-switcher/,319. 灯泡开关,467
169,https://leetcode.cn/problems/generalized-abbreviation/,320. 列举单词的全部缩写,65
170,https://leetcode.cn/problems/create-maximum-number/,321. 拼接最大数,257
171,https://leetcode.cn/problems/coin-change/,322. 零钱兑换,2704
172,https://leetcode.cn/problems/number-of-connected-components-in-an-undirected-graph/,323. 无向图中连通分量的数目,225
173,https://leetcode.cn/problems/wiggle-sort-ii/,324. 摆动排序 II,218
174,https://leetcode.cn/problems/maximum-size-subarray-sum-equals-k/,325. 和等于 k 的最长子数组长度,151
175,https://leetcode.cn/problems/power-of-three/,326. 3 的幂,721
176,https://leetcode.cn/problems/count-of-range-sum/,327. 区间和的个数,258
177,https://leetcode.cn/problems/odd-even-linked-list/,328. 奇偶链表,1300
178,https://leetcode.cn/problems/longest-increasing-path-in-a-matrix/,329. 矩阵中的最长递增路径,670
179,https://leetcode.cn/problems/patching-array/,330. 按要求补齐数组,164
180,https://leetcode.cn/problems/verify-preorder-serialization-of-a-binary-tree/,331. 验证二叉树的前序序列化,567
181,https://leetcode.cn/problems/reconstruct-itinerary/,332. 重新安排行程,437
182,https://leetcode.cn/problems/largest-bst-subtree/,333. 最大 BST 子树,118
183,https://leetcode.cn/problems/increasing-triplet-subsequence/,334. 递增的三元子序列,653
184,https://leetcode.cn/problems/self-crossing/,335. 路径交叉,154
185,https://leetcode.cn/problems/palindrome-pairs/,336. 回文对,209
186,https://leetcode.cn/problems/house-robber-iii/,337. 打家劫舍 III,1261
187,https://leetcode.cn/problems/counting-bits/,338. 比特位计数,1759
188,https://leetcode.cn/problems/nested-list-weight-sum/,339. 嵌套列表权重和,75
189,https://leetcode.cn/problems/longest-substring-with-at-most-k-distinct-characters/,340. 至多包含 K 个不同字符的最长子串,245
190,https://leetcode.cn/problems/flatten-nested-list-iterator/,341. 扁平化嵌套列表迭代器,569
191,https://leetcode.cn/problems/power-of-four/,342. 4的幂,906
192,https://leetcode.cn/problems/integer-break/,343. 整数拆分,1463
193,https://leetcode.cn/problems/reverse-string/,344. 反转字符串,2785
194,https://leetcode.cn/problems/reverse-vowels-of-a-string/,345. 反转字符串中的元音字母,1196
195,https://leetcode.cn/problems/moving-average-from-data-stream/,346. 数据流中的移动平均值,174
196,https://leetcode.cn/problems/top-k-frequent-elements/,347. 前 K 个高频元素,2126
197,https://leetcode.cn/problems/design-tic-tac-toe/,348. 设计井字棋,110
198,https://leetcode.cn/problems/intersection-of-two-arrays/,349. 两个数组的交集,2077
199,https://leetcode.cn/problems/intersection-of-two-arrays-ii/,350. 两个数组的交集 II,2069
200,https://leetcode.cn/problems/android-unlock-patterns/,351. 安卓系统手势解锁,117
201,https://leetcode.cn/problems/data-stream-as-disjoint-intervals/,352. 将数据流变为多个不相交区间,363
202,https://leetcode.cn/problems/design-snake-game/,353. 贪吃蛇,64
203,https://leetcode.cn/problems/russian-doll-envelopes/,354. 俄罗斯套娃信封问题,681
204,https://leetcode.cn/problems/design-twitter/,355. 设计推特,556
205,https://leetcode.cn/problems/line-reflection/,356. 直线镜像,52
206,https://leetcode.cn/problems/count-numbers-with-unique-digits/,357. 统计各位数字都不同的数字个数,851
207,https://leetcode.cn/problems/rearrange-string-k-distance-apart/,358. K 距离间隔重排字符串,67
208,https://leetcode.cn/problems/logger-rate-limiter/,359. 日志速率限制器,84
209,https://leetcode.cn/problems/sort-transformed-array/,360. 有序转化数组,76
210,https://leetcode.cn/problems/bomb-enemy/,361. 轰炸敌人,88
211,https://leetcode.cn/problems/design-hit-counter/,362. 敲击计数器,89
212,https://leetcode.cn/problems/max-sum-of-rectangle-no-larger-than-k/,363. 矩形区域不超过 K 的最大数值和,243
213,https://leetcode.cn/problems/nested-list-weight-sum-ii/,364. 加权嵌套序列和 II,64
214,https://leetcode.cn/problems/water-and-jug-problem/,365. 水壶问题,539
215,https://leetcode.cn/problems/find-leaves-of-binary-tree/,366. 寻找二叉树的叶子节点,167
216,https://leetcode.cn/problems/valid-perfect-square/,367. 有效的完全平方数,1210
217,https://leetcode.cn/problems/largest-divisible-subset/,368. 最大整除子集,508
218,https://leetcode.cn/problems/plus-one-linked-list/,369. 给单链表加一,171
219,https://leetcode.cn/problems/range-addition/,370. 区间加法,186
220,https://leetcode.cn/problems/sum-of-two-integers/,371. 两整数之和,590
221,https://leetcode.cn/problems/super-pow/,372. 超级次方,394
222,https://leetcode.cn/problems/find-k-pairs-with-smallest-sums/,373. 查找和最小的 K 对数字,473
223,https://leetcode.cn/problems/guess-number-higher-or-lower/,374. 猜数字大小,751
224,https://leetcode.cn/problems/guess-number-higher-or-lower-ii/,375. 猜数字大小 II,290
225,https://leetcode.cn/problems/wiggle-subsequence/,376. 摆动序列,1163
226,https://leetcode.cn/problems/combination-sum-iv/,377. 组合总和 Ⅳ,736
227,https://leetcode.cn/problems/kth-smallest-element-in-a-sorted-matrix/,378. 有序矩阵中第 K 小的元素,714
228,https://leetcode.cn/problems/design-phone-directory/,379. 电话目录管理系统,88
229,https://leetcode.cn/problems/insert-delete-getrandom-o1/,380. O(1) 时间插入、删除和获取随机元素,992
230,https://leetcode.cn/problems/insert-delete-getrandom-o1-duplicates-allowed/,381. O(1) 时间插入、删除和获取随机元素 - 允许重复,209
231,https://leetcode.cn/problems/linked-list-random-node/,382. 链表随机节点,363
232,https://leetcode.cn/problems/ransom-note/,383. 赎金信,1674
233,https://leetcode.cn/problems/shuffle-an-array/,384. 打乱数组,469
234,https://leetcode.cn/problems/mini-parser/,385. 迷你语法分析器,269
235,https://leetcode.cn/problems/lexicographical-numbers/,386. 字典序排数,599
236,https://leetcode.cn/problems/first-unique-character-in-a-string/,387. 字符串中的第一个唯一字符,1650
237,https://leetcode.cn/problems/longest-absolute-file-path/,388. 文件的最长绝对路径,465
238,https://leetcode.cn/problems/find-the-difference/,389. 找不同,1296
239,https://leetcode.cn/problems/elimination-game/,390. 消除游戏,413
240,https://leetcode.cn/problems/perfect-rectangle/,391. 完美矩形,213
241,https://leetcode.cn/problems/is-subsequence/,392. 判断子序列,2008
242,https://leetcode.cn/problems/utf-8-validation/,393. UTF-8 编码验证,434
243,https://leetcode.cn/problems/decode-string/,394. 字符串解码,1714
244,https://leetcode.cn/problems/longest-substring-with-at-least-k-repeating-characters/,395. 至少有 K 个重复字符的最长子串,527
245,https://leetcode.cn/problems/rotate-function/,396. 旋转函数,532
246,https://leetcode.cn/problems/integer-replacement/,397. 整数替换,613
247,https://leetcode.cn/problems/random-pick-index/,398. 随机数索引,420
248,https://leetcode.cn/problems/evaluate-division/,399. 除法求值,667
249,https://leetcode.cn/problems/nth-digit/,400. 第 N 位数字,534
250,https://leetcode.cn/problems/binary-watch/,401. 二进制手表,752
251,https://leetcode.cn/problems/remove-k-digits/,402. 移掉 K 位数字,764
252,https://leetcode.cn/problems/frog-jump/,403. 青蛙过河,506
253,https://leetcode.cn/problems/sum-of-left-leaves/,404. 左叶子之和,1560
254,https://leetcode.cn/problems/convert-a-number-to-hexadecimal/,405. 数字转换为十六进制数,531
255,https://leetcode.cn/problems/queue-reconstruction-by-height/,406. 根据身高重建队列,1062
256,https://leetcode.cn/problems/trapping-rain-water-ii/,407. 接雨水 II,270
257,https://leetcode.cn/problems/valid-word-abbreviation/,408. 有效单词缩写,98
258,https://leetcode.cn/problems/longest-palindrome/,409. 最长回文串,1643
259,https://leetcode.cn/problems/split-array-largest-sum/,410. 分割数组的最大值,425
260,https://leetcode.cn/problems/minimum-unique-word-abbreviation/,411. 最短独占单词缩写,29
261,https://leetcode.cn/problems/fizz-buzz/,412. Fizz Buzz,703
262,https://leetcode.cn/problems/arithmetic-slices/,413. 等差数列划分,1238
263,https://leetcode.cn/problems/third-maximum-number/,414. 第三大的数,1364
264,https://leetcode.cn/problems/add-strings/,415. 字符串相加,1388
265,https://leetcode.cn/problems/partition-equal-subset-sum/,416. 分割等和子集,1451
266,https://leetcode.cn/problems/pacific-atlantic-water-flow/,417. 太平洋大西洋水流问题,696
267,https://leetcode.cn/problems/sentence-screen-fitting/,418. 屏幕可显示句子的数量,44
268,https://leetcode.cn/problems/battleships-in-a-board/,419. 甲板上的战舰,476
269,https://leetcode.cn/problems/strong-password-checker/,420. 强密码检验器,154
270,https://leetcode.cn/problems/maximum-xor-of-two-numbers-in-an-array/,421. 数组中两个数的最大异或值,356
271,https://leetcode.cn/problems/valid-word-square/,422. 有效的单词方块,71
272,https://leetcode.cn/problems/reconstruct-original-digits-from-english/,423. 从英文中重建数字,414
273,https://leetcode.cn/problems/longest-repeating-character-replacement/,424. 替换后的最长重复字符,580
274,https://leetcode.cn/problems/word-squares/,425. 单词方块,40
275,https://leetcode.cn/problems/convert-binary-search-tree-to-sorted-doubly-linked-list/,426. 将二叉搜索树转化为排序的双向链表,162
276,https://leetcode.cn/problems/construct-quad-tree/,427. 建立四叉树,306
277,https://leetcode.cn/problems/serialize-and-deserialize-n-ary-tree/,428. 序列化和反序列化 N 叉树,70
278,https://leetcode.cn/problems/n-ary-tree-level-order-traversal/,429. N 叉树的层序遍历,935
279,https://leetcode.cn/problems/flatten-a-multilevel-doubly-linked-list/,430. 扁平化多级双向链表,757
280,https://leetcode.cn/problems/encode-n-ary-tree-to-binary-tree/,431. 将 N 叉树编码为二叉树,37
281,https://leetcode.cn/problems/all-oone-data-structure/,432. 全 O(1) 的数据结构,278
282,https://leetcode.cn/problems/minimum-genetic-mutation/,433. 最小基因变化,654
283,https://leetcode.cn/problems/number-of-segments-in-a-string/,434. 字符串中的单词数,993
284,https://leetcode.cn/problems/non-overlapping-intervals/,435. 无重叠区间,1196
285,https://leetcode.cn/problems/find-right-interval/,436. 寻找右区间,487
286,https://leetcode.cn/problems/path-sum-iii/,437. 路径总和 III,1247
287,https://leetcode.cn/problems/find-all-anagrams-in-a-string/,438. 找到字符串中所有字母异位词,1533
288,https://leetcode.cn/problems/ternary-expression-parser/,439. 三元表达式解析器,79
289,https://leetcode.cn/problems/k-th-smallest-in-lexicographical-order/,440. 字典序的第K小数字,279
290,https://leetcode.cn/problems/arranging-coins/,441. 排列硬币,891
291,https://leetcode.cn/problems/find-all-duplicates-in-an-array/,442. 数组中重复的数据,876
292,https://leetcode.cn/problems/string-compression/,443. 压缩字符串,780
293,https://leetcode.cn/problems/sequence-reconstruction/,444. 序列重建,71
294,https://leetcode.cn/problems/add-two-numbers-ii/,445. 两数相加 II,1129
295,https://leetcode.cn/problems/arithmetic-slices-ii-subsequence/,446. 等差数列划分 II - 子序列,183
296,https://leetcode.cn/problems/number-of-boomerangs/,447. 回旋镖的数量,408
297,https://leetcode.cn/problems/find-all-numbers-disappeared-in-an-array/,448. 找到所有数组中消失的数字,1451
298,https://leetcode.cn/problems/serialize-and-deserialize-bst/,449. 序列化和反序列化二叉搜索树,391
299,https://leetcode.cn/problems/delete-node-in-a-bst/,450. 删除二叉搜索树中的节点,1197
300,https://leetcode.cn/problems/sort-characters-by-frequency/,451. 根据字符出现频率排序,1130
301,https://leetcode.cn/problems/minimum-number-of-arrows-to-burst-balloons/,452. 用最少数量的箭引爆气球,1132
302,https://leetcode.cn/problems/minimum-moves-to-equal-array-elements/,453. 最小操作次数使数组元素相等,757
303,https://leetcode.cn/problems/4sum-ii/,454. 四数相加 II,762
304,https://leetcode.cn/problems/assign-cookies/,455. 分发饼干,1706
305,https://leetcode.cn/problems/132-pattern/,456. 132 模式,536
306,https://leetcode.cn/problems/circular-array-loop/,457. 环形数组是否存在循环,346
307,https://leetcode.cn/problems/poor-pigs/,458. 可怜的小猪,219
308,https://leetcode.cn/problems/repeated-substring-pattern/,459. 重复的子字符串,886
309,https://leetcode.cn/problems/lfu-cache/,460. LFU 缓存,516
310,https://leetcode.cn/problems/hamming-distance/,461. 汉明距离,1680
311,https://leetcode.cn/problems/minimum-moves-to-equal-array-elements-ii/,462. 最少移动次数使数组元素相等 II,464
312,https://leetcode.cn/problems/island-perimeter/,463. 岛屿的周长,1137
313,https://leetcode.cn/problems/optimal-account-balancing/,465. 最优账单平衡,29
314,https://leetcode.cn/problems/count-the-repetitions/,466. 统计重复个数,191
315,https://leetcode.cn/problems/unique-substrings-in-wraparound-string/,467. 环绕字符串中唯一的子字符串,136
316,https://leetcode.cn/problems/validate-ip-address/,468. 验证IP地址,377
317,https://leetcode.cn/problems/convex-polygon/,469. 凸多边形,25
318,https://leetcode.cn/problems/implement-rand10-using-rand7/,470. 用 Rand7() 实现 Rand10(),399
319,https://leetcode.cn/problems/encode-string-with-shortest-length/,471. 编码最短长度的字符串,31
320,https://leetcode.cn/problems/concatenated-words/,472. 连接词,234
321,https://leetcode.cn/problems/matchsticks-to-square/,473. 火柴拼正方形,250
322,https://leetcode.cn/problems/ones-and-zeroes/,474. 一和零,812
323,https://leetcode.cn/problems/heaters/,475. 供暖器,619
324,https://leetcode.cn/problems/number-complement/,476. 数字的补数,946
325,https://leetcode.cn/problems/total-hamming-distance/,477. 汉明距离总和,357
326,https://leetcode.cn/problems/generate-random-point-in-a-circle/,478. 在圆内随机生成点,67
327,https://leetcode.cn/problems/largest-palindrome-product/,479. 最大回文数乘积,163
328,https://leetcode.cn/problems/sliding-window-median/,480. 滑动窗口中位数,452
329,https://leetcode.cn/problems/magical-string/,481. 神奇字符串,135
330,https://leetcode.cn/problems/license-key-formatting/,482. 密钥格式化,491
331,https://leetcode.cn/problems/smallest-good-base/,483. 最小好进制,134
332,https://leetcode.cn/problems/find-permutation/,484. 寻找排列,41
333,https://leetcode.cn/problems/max-consecutive-ones/,485. 最大连续 1 的个数,1234
334,https://leetcode.cn/problems/predict-the-winner/,486. 预测赢家,451
335,https://leetcode.cn/problems/max-consecutive-ones-ii/,487. 最大连续1的个数 II,182
336,https://leetcode.cn/problems/zuma-game/,488. 祖玛游戏,178
337,https://leetcode.cn/problems/robot-room-cleaner/,489. 扫地机器人,30
338,https://leetcode.cn/problems/the-maze/,490. 迷宫,105
339,https://leetcode.cn/problems/increasing-subsequences/,491. 递增子序列,620
340,https://leetcode.cn/problems/construct-the-rectangle/,492. 构造矩形,470
341,https://leetcode.cn/problems/reverse-pairs/,493. 翻转对,316
342,https://leetcode.cn/problems/target-sum/,494. 目标和,1419
343,https://leetcode.cn/problems/teemo-attacking/,495. 提莫攻击,1041
344,https://leetcode.cn/problems/next-greater-element-i/,496. 下一个更大元素 I,1784
