Comment_volume,Question_en,Difficulty,Description,No_thumb,Img_link,No_pass,Relevant_tag,Similar_q_link,No_handover
评论 (2.4k),regular-expression-matching,困难,"给你一个字符串 s 和一个字符规律 p，请你来实现一个支持 '.' 和 '*' 的正则表达式匹配。
'.' 匹配任意单个字符
'*' 匹配零个或多个前面的那一个元素
所谓匹配，是要涵盖 整个 字符串 s的，而不是部分字符串。
  示例 1：
输入：s = ""aa"", p = ""a""
输出：false
解释：""a"" 无法匹配 ""aa"" 整个字符串。
示例 2:
输入：s = ""aa"", p = ""a*""
输出：true
解释：因为 '*' 代表可以匹配零个或多个前面的那一个元素, 在这里前面的元素就是 'a'。因此，字符串 ""aa"" 可被视为 'a' 重复了一次。
示例 3：
输入：s = ""ab"", p = "".*""
输出：true
解释："".*"" 表示可匹配零个或多个（'*'）任意字符（'.'）。
  提示：
1 <= s.length <= 20
1 <= p.length <= 30
s 只包含从 a-z 的小写字母。
p 只包含从 a-z 的小写字母，以及字符 . 和 *。
保证每次出现字符 * 时，前面都匹配到有效的字符",3002,,279380,"['https://leetcode.cn/tag/recursion/', 'https://leetcode.cn/tag/string/', 'https://leetcode.cn/tag/dynamic-programming/']",['https://leetcode.cn/problems/wildcard-matching/'],883642
评论 (2.2k),container-with-most-water,中等,"给定一个长度为 n 的整数数组 height 。有 n 条垂线，第 i 条线的两个端点是 (i, 0) 和 (i, height[i]) 。
找出其中的两条线，使得它们与 x 轴共同构成的容器可以容纳最多的水。
返回容器可以储存的最大水量。
说明：你不能倾斜容器。
  示例 1：
输入：[1,8,6,2,5,4,8,3,7]
输出：49 
解释：图中垂直线代表输入数组 [1,8,6,2,5,4,8,3,7]。在此情况下，容器能够容纳水（表示为蓝色部分）的最大值为 49。
示例 2：
输入：height = [1,1]
输出：1
  提示：
n == height.length
2 <= n <= 105
0 <= height[i] <= 104",3510,,733247,"['https://leetcode.cn/tag/greedy/', 'https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/two-pointers/']",['https://leetcode.cn/problems/trapping-rain-water/'],1194918
评论 (2.2k),integer-to-roman,中等,"罗马数字包含以下七种字符： I， V， X， L，C，D 和 M。
字符          数值
I             1
V             5
X             10
L             50
C             100
D             500
M             1000
例如， 罗马数字 2 写做 II ，即为两个并列的 1。12 写做 XII ，即为 X + II 。 27 写做  XXVII, 即为 XX + V + II 。
通常情况下，罗马数字中小的数字在大的数字的右边。但也存在特例，例如 4 不写做 IIII，而是 IV。数字 1 在数字 5 的左边，所表示的数等于大数 5 减小数 1 得到的数值 4 。同样地，数字 9 表示为 IX。这个特殊的规则只适用于以下六种情况：
I 可以放在 V (5) 和 X (10) 的左边，来表示 4 和 9。
X 可以放在 L (50) 和 C (100) 的左边，来表示 40 和 90。 
C 可以放在 D (500) 和 M (1000) 的左边，来表示 400 和 900。
给你一个整数，将其转为罗马数字。
  示例 1:
输入: num = 3
输出: ""III""
示例 2:
输入: num = 4
输出: ""IV""
示例 3:
输入: num = 9
输出: ""IX""
示例 4:
输入: num = 58
输出: ""LVIII""
解释: L = 50, V = 5, III = 3.
示例 5:
输入: num = 1994
输出: ""MCMXCIV""
解释: M = 1000, CM = 900, XC = 90, IV = 4.
  提示：
1 <= num <= 3999",880,,296532,"['https://leetcode.cn/tag/hash-table/', 'https://leetcode.cn/tag/math/', 'https://leetcode.cn/tag/string/']","['https://leetcode.cn/problems/roman-to-integer/', 'https://leetcode.cn/problems/integer-to-english-words/']",447733
评论 (4.1k),roman-to-integer,简单,"罗马数字包含以下七种字符: I， V， X， L，C，D 和 M。
字符          数值
I             1
V             5
X             10
L             50
C             100
D             500
M             1000
例如， 罗马数字 2 写做 II ，即为两个并列的 1 。12 写做 XII ，即为 X + II 。 27 写做  XXVII, 即为 XX + V + II 。
通常情况下，罗马数字中小的数字在大的数字的右边。但也存在特例，例如 4 不写做 IIII，而是 IV。数字 1 在数字 5 的左边，所表示的数等于大数 5 减小数 1 得到的数值 4 。同样地，数字 9 表示为 IX。这个特殊的规则只适用于以下六种情况：
I 可以放在 V (5) 和 X (10) 的左边，来表示 4 和 9。
X 可以放在 L (50) 和 C (100) 的左边，来表示 40 和 90。 
C 可以放在 D (500) 和 M (1000) 的左边，来表示 400 和 900。
给定一个罗马数字，将其转换成整数。
  示例 1:
输入: s = ""III""
输出: 3
示例 2:
输入: s = ""IV""
输出: 4
示例 3:
输入: s = ""IX""
输出: 9
示例 4:
输入: s = ""LVIII""
输出: 58
解释: L = 50, V= 5, III = 3.
示例 5:
输入: s = ""MCMXCIV""
输出: 1994
解释: M = 1000, CM = 900, XC = 90, IV = 4.
  提示：
1 <= s.length <= 15
s 仅含字符 ('I', 'V', 'X', 'L', 'C', 'D', 'M')
题目数据保证 s 是一个有效的罗马数字，且表示整数在范围 [1, 3999] 内
题目所给测试用例皆符合罗马数字书写规则，不会出现跨位等情况。
IL 和 IM 这样的例子并不符合题目要求，49 应该写作 XLIX，999 应该写作 CMXCIX 。
关于罗马数字的详尽书写规则，可以参考 罗马数字 - Mathematics 。",1886,,635623,"['https://leetcode.cn/tag/hash-table/', 'https://leetcode.cn/tag/math/', 'https://leetcode.cn/tag/string/']",['https://leetcode.cn/problems/integer-to-roman/'],1017133
评论 (3.6k),longest-common-prefix,简单,"编写一个函数来查找字符串数组中的最长公共前缀。
如果不存在公共前缀，返回空字符串 """"。
  示例 1：
输入：strs = [""flower"",""flow"",""flight""]
输出：""fl""
示例 2：
输入：strs = [""dog"",""racecar"",""car""]
输出：""""
解释：输入不存在公共前缀。
  提示：
1 <= strs.length <= 200
0 <= strs[i].length <= 200
strs[i] 仅由小写英文字母组成",2248,,840847,['https://leetcode.cn/tag/string/'],[],1982579
评论 (3.7k),3sum,中等,"给你一个包含 n 个整数的数组 nums，判断 nums 中是否存在三个元素 a，b，c ，使得 a + b + c = 0 ？请你找出所有和为 0 且不重复的三元组。
注意：答案中不可以包含重复的三元组。
  示例 1：
输入：nums = [-1,0,1,2,-1,-4]
输出：[[-1,-1,2],[-1,0,1]]
示例 2：
输入：nums = []
输出：[]
示例 3：
输入：nums = [0]
输出：[]
  提示：
0 <= nums.length <= 3000
-105 <= nums[i] <= 105",4803,,976899,"['https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/two-pointers/', 'https://leetcode.cn/tag/sorting/']","['https://leetcode.cn/problems/two-sum/', 'https://leetcode.cn/problems/3sum-closest/', 'https://leetcode.cn/problems/4sum/', 'https://leetcode.cn/problems/3sum-smaller/']",2751538
评论 (1.1k),3sum-closest,中等,"给你一个长度为 n 的整数数组 nums 和 一个目标值 target。请你从 nums 中选出三个整数，使它们的和与 target 最接近。
返回这三个数的和。
假定每组输入只存在恰好一个解。
  示例 1：
输入：nums = [-1,2,1,-4], target = 1
输出：2
解释：与 target 最接近的和是 2 (-1 + 2 + 1 = 2) 。
示例 2：
输入：nums = [0,0,0], target = 1
输出：0
  提示：
3 <= nums.length <= 1000
-1000 <= nums[i] <= 1000
-104 <= target <= 104",1149,,353741,"['https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/two-pointers/', 'https://leetcode.cn/tag/sorting/']","['https://leetcode.cn/problems/3sum/', 'https://leetcode.cn/problems/3sum-smaller/']",775405
评论 (2.8k),letter-combinations-of-a-phone-number,中等,"给定一个仅包含数字 2-9 的字符串，返回所有它能表示的字母组合。答案可以按 任意顺序 返回。
给出数字到字母的映射如下（与电话按键相同）。注意 1 不对应任何字母。
  示例 1：
输入：digits = ""23""
输出：[""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]
示例 2：
输入：digits = """"
输出：[]
示例 3：
输入：digits = ""2""
输出：[""a"",""b"",""c""]
  提示：
0 <= digits.length <= 4
digits[i] 是范围 ['2', '9'] 的一个数字。",1910,,489880,"['https://leetcode.cn/tag/hash-table/', 'https://leetcode.cn/tag/string/', 'https://leetcode.cn/tag/backtracking/']","['https://leetcode.cn/problems/generate-parentheses/', 'https://leetcode.cn/problems/combination-sum/', 'https://leetcode.cn/problems/binary-watch/']",847424
评论 (1.7k),4sum,中等,"给你一个由 n 个整数组成的数组 nums ，和一个目标值 target 。请你找出并返回满足下述全部条件且不重复的四元组 [nums[a], nums[b], nums[c], nums[d]] （若两个四元组元素一一对应，则认为两个四元组重复）：
0 <= a, b, c, d < n
a、b、c 和 d 互不相同
nums[a] + nums[b] + nums[c] + nums[d] == target
你可以按 任意顺序 返回答案 。
  示例 1：
输入：nums = [1,0,-1,0,-2,2], target = 0
输出：[[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]]
示例 2：
输入：nums = [2,2,2,2,2], target = 8
输出：[[2,2,2,2]]
  提示：
1 <= nums.length <= 200
-109 <= nums[i] <= 109
-109 <= target <= 109",1248,,319856,"['https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/two-pointers/', 'https://leetcode.cn/tag/sorting/']","['https://leetcode.cn/problems/two-sum/', 'https://leetcode.cn/problems/3sum/', 'https://leetcode.cn/problems/4sum-ii/']",813378
评论 (3.1k),remove-nth-node-from-end-of-list,中等,"给你一个链表，删除链表的倒数第 n 个结点，并且返回链表的头结点。
  示例 1：
输入：head = [1,2,3,4,5], n = 2
输出：[1,2,3,5]
示例 2：
输入：head = [1], n = 1
输出：[]
示例 3：
输入：head = [1,2], n = 1
输出：[1]
  提示：
链表中结点的数目为 sz
1 <= sz <= 30
0 <= Node.val <= 100
1 <= n <= sz
  进阶：你能尝试使用一趟扫描实现吗？",2048,https://assets.leetcode.com/uploads/2020/10/03/remove_ex1.jpg,792402,"['https://leetcode.cn/tag/linked-list/', 'https://leetcode.cn/tag/two-pointers/']",[],1797956
评论 (4.4k),valid-parentheses,简单,"给定一个只包括 '('，')'，'{'，'}'，'['，']' 的字符串 s ，判断字符串是否有效。
有效字符串需满足：
左括号必须用相同类型的右括号闭合。
左括号必须以正确的顺序闭合。
  示例 1：
输入：s = ""()""
输出：true
示例 2：
输入：s = ""()[]{}""
输出：true
示例 3：
输入：s = ""(]""
输出：false
示例 4：
输入：s = ""([)]""
输出：false
示例 5：
输入：s = ""{[]}""
输出：true
  提示：
1 <= s.length <= 104
s 仅由括号 '()[]{}' 组成",3266,,1093247,"['https://leetcode.cn/tag/stack/', 'https://leetcode.cn/tag/string/']","['https://leetcode.cn/problems/generate-parentheses/', 'https://leetcode.cn/problems/longest-valid-parentheses/', 'https://leetcode.cn/problems/remove-invalid-parentheses/', 'https://leetcode.cn/problems/check-if-word-is-valid-after-substitutions/']",2451759
评论 (2.6k),merge-two-sorted-lists,简单,"将两个升序链表合并为一个新的 升序 链表并返回。新链表是通过拼接给定的两个链表的所有节点组成的。 
  示例 1：
输入：l1 = [1,2,4], l2 = [1,3,4]
输出：[1,1,2,3,4,4]
示例 2：
输入：l1 = [], l2 = []
输出：[]
示例 3：
输入：l1 = [], l2 = [0]
输出：[0]
  提示：
两个链表的节点数目范围是 [0, 50]
-100 <= Node.val <= 100
l1 和 l2 均按 非递减顺序 排列",2446,https://assets.leetcode.com/uploads/2020/10/03/merge_ex1.jpg,1017170,"['https://leetcode.cn/tag/recursion/', 'https://leetcode.cn/tag/linked-list/']","['https://leetcode.cn/problems/merge-k-sorted-lists/', 'https://leetcode.cn/problems/merge-sorted-array/', 'https://leetcode.cn/problems/sort-list/', 'https://leetcode.cn/problems/shortest-word-distance-ii/']",1525979
评论 (2.6k),generate-parentheses,中等,"数字 n 代表生成括号的对数，请你设计一个函数，用于能够生成所有可能的并且 有效的 括号组合。
  示例 1：
输入：n = 3
输出：[""((()))"",""(()())"",""(())()"",""()(())"",""()()()""]
示例 2：
输入：n = 1
输出：[""()""]
  提示：
1 <= n <= 8",2650,,510524,"['https://leetcode.cn/tag/string/', 'https://leetcode.cn/tag/dynamic-programming/', 'https://leetcode.cn/tag/backtracking/']","['https://leetcode.cn/problems/letter-combinations-of-a-phone-number/', 'https://leetcode.cn/problems/valid-parentheses/']",659075
评论 (2.0k),merge-k-sorted-lists,困难,"给你一个链表数组，每个链表都已经按升序排列。
请你将所有链表合并到一个升序链表中，返回合并后的链表。
  示例 1：
输入：lists = [[1,4,5],[1,3,4],[2,6]]
输出：[1,1,2,3,4,4,5,6]
解释：链表数组如下：
[
  1->4->5,
  1->3->4,
  2->6
]
将它们合并到一个有序链表中得到。
1->1->2->3->4->4->5->6
示例 2：
输入：lists = []
输出：[]
示例 3：
输入：lists = [[]]
输出：[]
  提示：
k == lists.length
0 <= k <= 10^4
0 <= lists[i].length <= 500
-10^4 <= lists[i][j] <= 10^4
lists[i] 按 升序 排列
lists[i].length 的总和不超过 10^4",1963,,470250,"['https://leetcode.cn/tag/linked-list/', 'https://leetcode.cn/tag/divide-and-conquer/', 'https://leetcode.cn/tag/heap-priority-queue/', 'https://leetcode.cn/tag/merge-sort/']","['https://leetcode.cn/problems/merge-two-sorted-lists/', 'https://leetcode.cn/problems/ugly-number-ii/']",825838
评论 (2.2k),swap-nodes-in-pairs,中等,"给你一个链表，两两交换其中相邻的节点，并返回交换后链表的头节点。你必须在不修改节点内部的值的情况下完成本题（即，只能进行节点交换）。
  示例 1：
输入：head = [1,2,3,4]
输出：[2,1,4,3]
示例 2：
输入：head = []
输出：[]
示例 3：
输入：head = [1]
输出：[1]
  提示：
链表中节点的数目在范围 [0, 100] 内
0 <= Node.val <= 100",1395,https://assets.leetcode.com/uploads/2020/10/03/swap_ex1.jpg,446265,"['https://leetcode.cn/tag/recursion/', 'https://leetcode.cn/tag/linked-list/']",['https://leetcode.cn/problems/reverse-nodes-in-k-group/'],629652
评论 (1.8k),reverse-nodes-in-k-group,困难,"给你链表的头节点 head ，每 k 个节点一组进行翻转，请你返回修改后的链表。
k 是一个正整数，它的值小于或等于链表的长度。如果节点总数不是 k 的整数倍，那么请将最后剩余的节点保持原有顺序。
你不能只是单纯的改变节点内部的值，而是需要实际进行节点交换。
  示例 1：
输入：head = [1,2,3,4,5], k = 2
输出：[2,1,4,3,5]
示例 2：
输入：head = [1,2,3,4,5], k = 3
输出：[3,2,1,4,5]
  提示：
链表中的节点数目为 n
1 <= k <= n <= 5000
0 <= Node.val <= 1000
  进阶：你可以设计一个只用 O(1) 额外内存空间的算法解决此问题吗？",1640,https://assets.leetcode.com/uploads/2020/10/03/reverse_ex1.jpg,342082,"['https://leetcode.cn/tag/recursion/', 'https://leetcode.cn/tag/linked-list/']",['https://leetcode.cn/problems/swap-nodes-in-pairs/'],508405
评论 (4.5k),remove-duplicates-from-sorted-array,简单,"给你一个 升序排列 的数组 nums ，请你 原地 删除重复出现的元素，使每个元素 只出现一次 ，返回删除后数组的新长度。元素的 相对顺序 应该保持 一致 。
由于在某些语言中不能改变数组的长度，所以必须将结果放在数组nums的第一部分。更规范地说，如果在删除重复项之后有 k 个元素，那么 nums 的前 k 个元素应该保存最终结果。
将最终结果插入 nums 的前 k 个位置后返回 k 。
不要使用额外的空间，你必须在 原地 修改输入数组 并在使用 O(1) 额外空间的条件下完成。
判题标准:
系统会用下面的代码来测试你的题解:
int[] nums = [...]; // 输入数组
int[] expectedNums = [...]; // 长度正确的期望答案

int k = removeDuplicates(nums); // 调用

assert k == expectedNums.length;
for (int i = 0; i < k; i++) {
    assert nums[i] == expectedNums[i];
}
如果所有断言都通过，那么您的题解将被 通过。
  示例 1：
输入：nums = [1,1,2]
输出：2, nums = [1,2,_]
解释：函数应该返回新的长度 2 ，并且原数组 nums 的前两个元素被修改为 1, 2 。不需要考虑数组中超出新长度后面的元素。
示例 2：
输入：nums = [0,0,1,1,1,2,2,3,3,4]
输出：5, nums = [0,1,2,3,4]
解释：函数应该返回新的长度 5 ， 并且原数组 nums 的前五个元素被修改为 0, 1, 2, 3, 4 。不需要考虑数组中超出新长度后面的元素。
  提示：
0 <= nums.length <= 3 * 104
-104 <= nums[i] <= 104
nums 已按 升序 排列",2651,,1114938,"['https://leetcode.cn/tag/array/', 'https://leetcode.cn/tag/two-pointers/']","['https://leetcode.cn/problems/remove-element/', 'https://leetcode.cn/problems/remove-duplicates-from-sorted-array-ii/']",2062896
